Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
106.4761843,80.617,7.124,3.16,74.83,886.9,904,116.9,104.3,145.6,922.3,8.82,18.73,1
105.505,81.362,6.968,3.16,74.81,919.409791,935.9,113.9,104.9,145.6,930.5,8.59,18.73,1
105.505,80.411,6.864,4.08,74.81,908.6,902.3448234,120.5,106.5034956,147,933.1,8.8,18.98,1
106.4748273,81.162,6.864,3.16,74.82,879.4108705,902.0336533,127.3,104.9,145.6,922.3,8.85,18.73,1
106.4661401,81.471,6.864,3.22,74.83,885.6442597,902.8212686,120.5,106.7,145.6,917.5,8.8,18.75,1
105.449,81.162,6.864,3.186743629,74.81,903.1,902.4442768,120.5,104.9,145.6,882.3,8.84,18.72,1
106.272806,81.343,7.228,3.16,74.82,885.1536783,895.3,116.9,107.8,145.8,922.3,8.59,18.73,1
105.571,80.326,6.968,5.57,74.81,915.3,929.5,100.4,86.2,147.4,860.9,8.62,18.95,1
106.4715439,81.402,6.968,3.185673702,74.82,919.8881899,895.3,120.5,93.1,146,882.3,8.83,18.73,1
105.505,81.027,6.864,3.22,74.82,885.1124139,902.112874,113.9,93.1,146.1,882.3,8.68,18.73,1
105.944,81.402,7.228,3.16,74.83,908.6,938.2,120.5,104.9,145.9,917.5,8.85,18.89,1
106.323,81.343,7.124,3.16,74.83,885.2,904,118.4,107.3,146.7,930.5,8.76,18.8,1
106.446508,80.617,7.228,4.08,74.81,884.9929424,938.2,116.9,106.6114338,146.7,882.3,8.8,18.77,1
106.4587629,81.162,6.864,3.2,74.83,919.9132002,902.3395082,120.5,88.9,145.9,937.7,8.68,18.71,1
106.2747851,81.362,7.228,3.16,74.81,886.9,926.3,107.3,106.2,146,882.3,8.81,18.8,1
105.944,81.162,6.864,4.08,74.83,903.1,904,118.4,106.2,146.7,930.5,8.83,18.76,1
106.323,80.617,6.864,3.82,74.81,919.577307,918.2,113.9,93.1,148.1,933.1,8.59,18.72,1
106.237,81.027,6.864,3.185465953,74.83,879.6253698,904,120.5,106.484904,145.9,933.1,8.84,18.76,1
106.05,81.196,6.968,3.19,74.81,908.6,926.5,114.5,103,145.7,931.2,8.87,18.7,1
105.449,80.411,6.968,3.189244994,74.82,885.2852524,896.8,116.9,106.5148412,147,923.9,8.8,18.77,1
105.449,81.343,6.968,3.16,74.83,901.6,896.8,113.9,106.4860051,146,882.3,8.85,18.77,1
106.477336,81.437,7.124,3.189451508,74.82,903.1,896.8,127.3,106.4012245,148.1,922.3,8.59,18.75,1
106.2730427,80.411,6.864,4.08,74.82,885.0213667,896.8,113.9,104.3,147,933.1,8.83,18.76,1
106.2747391,81.162,7.228,3.177940684,74.83,879.7630138,904,120.5,106.7,145.6,933.1,8.85,18.73,1
106.106,81.145,6.968,3.17,74.81,909.4,923.8,113,105.4,145.7,929.3,8.85,18.71,1
106.4638866,81.058,6.864,3.22,74.82,903.1,901.9795218,120.5,106.2,145.9,930.5,8.85,18.73,1
106.2726542,80.617,6.864,3.18219405,74.82,879.4152868,895.3,127.3,104.9,146.7,882.3,8.82,18.75,1
106.487397,81.471,6.864,3.22,74.82,885.2984746,926.3,107.3,106.4187362,145.9,937.7,8.68,18.75,1
105.449,80.617,6.864,3.185222655,74.81,903.1,919.9,120.5,93.1,147,933.1,8.81,18.89,1
